Fox_education_Virginia,Fox_education_Lilly,Fox_education_Kris,Fox_education_Gayla,Fox_education_Andre,Fox_education_Willis,Fox_education_Charles,Fox_education_Leota,Fox_education_Theodore,Fox_education_Dewayne,Fox_education_Jacqueline,Fox_education_Yolande,Fox_education_Lesley,Fox_education_Maris,Fox_education_John,Fox_education_Marcelina,Fox_education_Sterling,Fox_education_Elvira,Fox_education_Ollie,Fox_education_Elois,Fox_education_Melinda,Fox_education_Geoffrey,Fox_education_Vernon,Fox_education_Tamika,Fox_education_Janina,Fox_education_Burton,Fox_education_Gloria,Fox_education_Nilda,Fox_education_Ashli,Fox_education_Miguelina,Fox_education_Long,Fox_education_Louie,Fox_education_Shaun,Fox_education_Kim,Fox_education_Otilia,Fox_education_Tonya,Fox_education_Elizabeth,Fox_education_Eddy,Fox_education_Melvin,Fox_education_Eldon,Fox_education_Suzan,Fox_education_Shirley,Fox_education_Claude,Fox_education_Maureen,Fox_education_Dominique,Fox_education_Stacia,Fox_education_Ray,Fox_education_Marlana,Fox_education_Rudolph,Fox_education_Leona,Fox_public_Bart,Fox_public_Denny,Fox_public_Lauren,Fox_public_Martin,Fox_public_Belle,Fox_public_Rhonda,Rat_public_Emilee,Rat_public_Nell,Rat_public_Frederick,Rat_public_Leta,Rat_public_Kelly,Rat_public_Sean,Rat_public_Kathleen,Rat_public_Becky,Rat_public_Toya,Rat_public_Loretta,Rat_public_Sharron,Rat_public_Kelle,Rat_public_Johnna,Rat_public_Bronwyn,Rat_public_Alanna,Rat_public_Lynda,Rat_public_Yetta,Rat_public_Laurie,Rat_public_Sade,Rat_public_Damon,Rat_public_Vickie,Rat_public_Chrissy,Rat_public_Allyson,Rat_public_Johnny,Rat_public_Isabel,Rat_public_Yessenia,Rat_public_Joann,Rat_public_Stella,Rat_public_Hortencia,Rat_public_Roma,Rat_public_Fredrick,Rat_public_Helena,Rat_public_Sharonda,Rat_public_Elmira,Rat_public_Clyde,Rat_public_Allie,Rat_public_Leo,Rat_public_Ramona,Rat_public_Julieann,Rat_public_Laura,Rat_public_Kermit,Rat_public_Courtney,Rat_public_Ulysses,Rat_public_Kimber,Fox_office_Israel,Fox_office_Gaylord,Fox_office_Margarita,Fox_office_Clayton,Fox_office_Demetrius,Fox_office_Berniece,Fox_office_Susanne,Fox_office_Alice,Fox_office_Molly,Fox_office_Brandy,Fox_office_Vicki,Fox_office_Karima,Fox_office_Zachary,Fox_office_Joy,Fox_office_Easter,Fox_office_Juana,Fox_office_Carson,Fox_office_Sheila,Fox_office_Thelma,Fox_office_Essie,Fox_office_Rowena,Fox_office_Bernard,Fox_office_Edythe,Fox_office_Yong,Rat_office_Annis,Rat_office_Jessica,Rat_office_Colby,Rat_office_Adele,Rat_office_Chris,Rat_office_Jacinta,Rat_office_Olivia,Rat_office_Ronald,Rat_office_Jamal,Rat_office_Ashlee,Rat_office_Sammy,Rat_office_Arron,Rat_office_Tracy,Rat_office_Randy,Rat_office_Craig,Rat_office_Mei,Rat_office_Jeannie,Rat_office_Kasey,Rat_office_Lora,Rat_office_Ramiro,Rat_office_Jill,Rat_office_Avis,Rat_office_Rosemary,Rat_office_Loyd,Bull_office_Anne,Bull_office_Myron
4.87,160.82,36.20,39.23,421.56,2414.95,15.91,162.17,259.28,57.41,0.49,487.44,11.09,16.55,40.74,0.94,5.77,147.45,81.27,8.38,428.53,104.45,31.39,148.37,90.31,45.52,585.16,101.05,26.82,49.10,75.79,48.51,64.16,36.31,922.45,171.97,218.45,145.09,35.23,193.71,29.61,69.72,945.33,257.64,163.38,76.06,42.86,159.16,13.14,215.45,83.40,136.50,97.31,158.98,65.88,77.39,16.65,50.91,17.25,17.52,21.85,13.18,23.41,27.66,28.64,277.88,41.44,28.06,10.26,336.24,1221.36,15.69,16.93,127.02,37.14,24.18,25.35,58.58,46.07,17.80,54.36,86.44,16.36,84.97,41.64,25.53,5.89,18.38,33.95,28.73,25.53,12.95,17.66,30.03,11.00,12.49,17.05,26.80,,328.56,95.02,104.05,20.61,38.80,84.71,18.98,13.53,337.13,4.96,17.81,144.41,24.32,110.59,162.24,18.82,13.36,28.89,8.86,81.12,29.98,30.53,107.84,104.41,110.58,34.94,571.60,2222.51,431.61,1062.74,224.97,28.60,49.45,631.68,34.02,45.31,50.64,19.98,64.22,320.15,15.86,40.24,44.98,218.50,45.95,347.82,778.38,12.14,39.42,20.00,46.00
4.84,161.92,38.84,41.86,425.09,2420.95,15.56,165.00,260.34,58.91,0.40,484.69,10.97,16.91,38.03,1.01,6.19,145.47,81.92,8.72,432.48,105.15,31.39,141.95,78.61,46.30,637.01,101.80,25.88,49.35,74.06,50.64,62.09,35.38,921.29,172.53,209.00,145.00,35.64,191.55,33.52,71.44,943.52,252.38,162.38,75.66,41.83,160.72,13.29,208.91,112.59,139.99,92.41,154.41,66.42,91.28,17.43,50.06,18.73,15.15,22.04,13.82,22.96,27.57,27.85,278.23,40.87,28.03,8.96,330.48,1215.72,15.12,16.86,128.62,35.55,24.17,25.58,53.32,45.04,18.00,54.53,85.06,16.27,84.12,40.75,25.18,5.96,15.81,33.33,27.84,25.15,13.07,15.93,27.70,11.00,12.77,16.23,26.46,,332.50,94.13,102.52,21.41,39.58,100.92,18.70,13.32,333.61,5.55,16.38,140.11,24.45,99.98,150.12,18.30,12.82,27.87,12.09,82.18,29.45,30.59,107.97,99.77,102.50,31.23,574.61,2223.49,445.33,1057.94,227.67,28.69,48.25,621.18,33.59,42.49,45.39,19.07,63.25,318.21,15.70,38.72,46.05,217.52,45.31,343.02,781.89,11.85,37.12,19.00,44.00
4.63,170.31,39.86,41.39,412.43,2402.26,14.59,164.22,262.81,58.05,0.31,485.13,11.27,16.54,35.58,0.92,5.61,139.81,80.93,8.34,426.74,107.19,31.39,130.05,78.32,45.27,634.85,101.99,25.83,47.24,76.80,50.72,60.36,36.09,907.80,172.85,210.27,284.54,36.70,189.78,31.91,69.38,939.61,250.61,163.96,74.86,43.68,158.55,13.16,208.39,130.65,135.06,91.59,154.58,64.13,88.46,17.53,47.14,18.53,15.86,19.16,13.56,22.94,27.73,27.91,272.64,40.48,27.99,10.54,329.40,1227.78,15.16,16.91,133.07,27.92,23.27,24.87,52.47,44.98,18.00,52.82,85.12,15.93,87.03,39.90,25.20,5.90,13.21,33.59,25.38,26.37,12.73,15.34,27.54,11.02,12.48,16.73,25.77,,333.96,94.76,98.03,20.76,36.14,129.08,22.16,12.57,333.88,4.70,16.91,141.76,23.55,105.38,182.99,18.76,13.29,27.59,10.50,79.85,29.30,29.59,108.46,99.44,94.88,31.80,573.27,2260.02,447.60,1057.21,227.07,28.61,51.04,617.26,33.23,33.76,44.28,19.07,62.88,317.85,16.27,38.78,45.18,217.04,45.52,341.74,773.63,12.18,34.95,19.00,44.00
4.55,175.96,38.58,38.81,409.15,2392.85,14.23,162.31,262.71,56.63,0.21,478.19,10.86,16.50,36.84,0.98,5.49,153.40,82.48,7.62,429.02,106.03,31.39,127.52,80.87,44.59,627.84,99.59,25.93,49.02,82.87,48.10,62.78,35.59,906.70,171.65,218.82,315.64,35.55,189.61,31.19,68.31,926.84,249.41,165.91,75.38,45.49,159.49,12.89,207.31,107.21,133.38,91.02,153.50,65.57,98.97,16.66,45.64,18.14,16.04,18.44,13.90,23.16,27.34,29.10,272.97,40.76,27.95,8.28,331.50,1217.22,16.00,16.86,122.94,26.27,23.22,24.29,55.16,44.67,18.04,53.27,85.17,15.95,84.88,38.58,25.67,5.91,14.59,32.52,25.02,29.23,12.59,15.04,26.98,11.02,12.21,16.18,25.70,,338.65,92.95,101.93,20.20,36.16,131.58,23.01,12.15,333.03,4.38,16.05,138.37,23.61,109.08,183.50,18.30,12.89,27.48,7.36,80.93,30.33,29.69,116.71,96.62,93.81,30.82,576.58,2306.26,438.34,1058.70,225.25,29.54,49.12,622.82,33.55,41.93,44.25,18.18,62.38,316.11,16.20,38.30,45.40,218.01,45.30,343.82,772.38,12.04,32.64,19.50,44.00
8.50,158.94,36.05,42.20,419.20,2396.78,14.36,195.78,262.57,54.84,0.12,484.62,10.98,16.43,34.66,1.40,9.57,153.62,80.85,7.91,427.36,105.43,31.39,118.81,85.10,44.75,626.76,98.20,30.34,47.15,99.69,48.52,59.70,52.03,904.04,170.51,235.17,308.28,40.14,192.19,32.67,70.57,936.89,247.69,165.00,76.16,44.23,158.57,13.23,208.20,64.98,129.13,89.93,162.03,63.98,77.83,17.45,46.01,18.11,16.14,19.05,13.68,22.71,26.82,27.34,269.89,40.16,26.56,11.10,339.24,1205.82,15.35,16.80,126.39,26.59,21.98,25.14,53.63,43.65,17.42,52.38,84.93,15.90,85.45,45.69,25.56,5.96,14.42,32.69,23.59,30.66,12.64,18.23,27.02,11.02,12.81,15.96,23.82,,341.98,95.12,99.66,20.16,35.75,126.89,23.61,12.22,342.62,8.34,16.09,135.98,22.84,151.15,175.88,18.64,12.53,27.26,7.56,104.34,29.74,28.67,118.67,95.41,91.54,27.54,615.61,2320.46,482.75,1044.74,228.05,29.06,45.79,736.62,32.99,37.41,44.88,20.00,145.31,317.09,16.73,38.88,45.11,233.21,44.94,380.31,771.31,11.51,34.08,19.50,44.00
8.81,175.99,37.71,48.11,434.50,2401.23,14.38,204.68,263.22,65.17,0.03,479.28,11.09,16.36,39.60,2.05,10.88,161.63,92.99,8.15,428.43,110.22,31.40,171.14,101.50,69.52,626.18,98.93,31.78,98.03,109.83,53.25,52.94,57.17,899.13,162.13,266.19,306.85,43.91,188.96,38.41,57.52,937.51,249.06,163.59,75.66,45.02,156.81,14.83,238.31,73.59,132.69,95.87,176.51,62.55,67.17,29.44,45.47,18.81,15.61,22.42,15.97,22.77,26.24,27.03,272.53,40.17,15.52,7.83,337.92,1216.38,14.75,17.00,126.53,28.28,24.45,24.27,52.85,42.95,17.08,52.13,84.44,15.45,86.34,65.11,25.00,5.96,18.81,35.82,25.04,27.66,12.26,19.62,28.47,11.03,11.81,15.72,22.16,,443.69,93.21,126.42,19.86,80.48,202.99,27.34,11.16,349.34,5.09,16.76,130.78,21.96,116.62,169.88,21.56,11.84,33.59,8.05,123.25,51.49,28.54,122.81,97.32,90.46,25.59,695.89,2367.98,524.70,1063.31,226.67,28.16,50.68,1051.37,32.73,33.78,46.66,19.55,132.91,297.88,17.36,36.64,61.98,330.89,44.95,748.65,764.70,10.63,33.61,19.00,44.50
7.92,198.88,100.03,47.99,410.14,2418.06,14.12,205.53,263.06,104.37,2.99,488.90,17.09,17.67,56.47,3.85,20.23,161.93,96.18,13.64,419.68,111.03,31.40,177.00,110.50,61.38,590.35,109.84,31.56,111.75,144.66,64.31,63.86,54.58,895.91,148.09,291.29,306.30,50.41,187.95,35.09,76.74,936.25,258.54,170.09,76.01,43.11,157.18,13.50,303.50,153.93,128.61,100.92,175.34,62.57,56.71,40.67,45.73,19.57,15.77,25.25,17.12,22.76,25.16,26.79,278.02,38.61,15.44,15.04,344.82,1221.84,16.62,16.83,125.53,29.05,27.26,22.74,51.86,42.61,17.74,54.34,116.50,15.03,85.95,82.71,34.80,6.15,23.43,25.25,24.51,33.81,12.21,18.54,28.20,10.37,14.36,15.70,21.97,,566.98,107.16,181.09,20.75,94.28,131.55,28.20,9.07,349.25,4.09,39.91,138.62,86.03,93.15,166.33,25.36,17.70,42.74,8.41,142.15,49.28,28.88,129.61,98.09,93.95,24.38,734.19,2384.53,531.41,1071.43,220.35,29.06,48.73,1357.99,32.62,39.08,72.10,19.88,132.45,288.02,17.61,34.34,111.59,485.38,44.12,999.56,783.77,16.70,40.86,20.00,47.00
9.07,187.42,104.81,50.70,422.85,2427.96,14.65,219.01,265.31,92.83,12.49,530.93,20.68,18.88,65.07,3.67,25.99,178.06,98.03,12.39,429.54,114.11,31.40,177.60,119.20,47.81,568.33,130.74,31.62,104.72,164.72,68.03,66.06,57.98,924.95,149.86,315.10,294.89,55.73,192.93,36.09,87.80,942.24,263.44,181.76,76.35,42.36,162.63,15.95,293.48,153.88,137.54,111.75,180.51,63.25,102.03,57.73,45.25,19.03,16.86,24.55,16.76,25.02,25.77,28.84,282.94,33.30,21.39,12.24,380.40,1208.70,17.41,17.21,152.25,31.77,25.59,23.04,65.31,44.97,18.59,58.56,172.16,14.62,89.53,85.69,43.62,6.08,28.51,31.74,26.32,33.22,11.38,17.88,30.50,10.34,14.40,16.29,21.09,,566.29,118.68,194.59,22.27,88.97,119.53,31.12,9.71,355.85,4.54,44.89,163.68,108.50,127.27,185.12,25.84,20.86,58.42,10.82,141.27,51.43,29.99,137.30,101.85,112.70,32.13,748.87,2407.47,550.97,1092.36,222.53,70.74,51.97,1471.41,37.59,39.66,67.59,21.68,150.25,297.12,21.30,48.53,117.32,588.41,45.80,1066.47,764.63,23.39,57.73,21.00,67.50
10.11,198.58,102.81,66.75,453.35,2421.69,14.46,228.92,266.11,103.22,30.60,561.00,20.77,18.64,73.94,3.79,35.48,223.07,99.19,11.81,452.57,118.51,31.40,199.56,134.46,44.12,575.14,153.92,31.62,116.95,181.50,69.08,71.59,63.58,950.11,154.32,344.09,287.44,63.90,193.25,42.69,96.81,952.43,275.00,191.94,75.74,43.41,166.72,23.05,309.35,160.25,146.24,125.20,192.05,67.15,119.20,54.45,49.95,18.55,16.12,24.11,11.43,25.71,24.38,32.59,288.38,33.66,37.38,15.26,417.24,1222.86,17.68,19.24,184.33,34.84,26.85,23.96,77.63,47.89,18.91,60.98,182.38,15.12,96.68,94.18,49.45,6.13,22.57,43.58,28.14,31.59,11.75,19.20,29.95,10.34,13.27,18.04,21.94,,527.28,127.84,237.56,24.82,103.68,140.17,32.28,16.58,369.28,7.77,52.14,188.74,116.19,167.68,217.38,32.72,23.84,60.99,10.99,172.51,65.19,34.88,141.63,108.25,150.08,40.14,772.10,2487.23,588.29,1121.73,236.25,90.97,60.88,1568.57,42.09,55.77,76.92,21.03,156.29,306.19,23.29,61.13,132.72,692.89,47.61,1118.55,850.05,27.91,72.32,18.50,71.00
10.12,211.25,98.42,75.49,497.03,2451.99,14.52,240.65,272.99,112.99,49.29,622.71,21.48,20.84,81.62,4.07,45.56,232.08,104.25,12.25,481.34,120.03,31.40,219.17,136.94,45.28,591.38,155.65,31.16,113.75,189.91,65.70,77.94,67.39,985.17,160.25,368.28,281.91,77.12,198.36,46.17,97.91,976.66,287.19,205.31,77.34,40.51,182.50,26.66,332.53,166.74,158.20,129.32,203.90,69.17,120.26,69.74,61.16,19.25,16.29,25.52,15.34,27.39,27.18,38.64,288.17,35.60,30.18,15.36,465.84,1227.24,15.65,21.51,172.31,34.36,26.53,28.62,85.49,58.57,20.23,77.80,182.73,20.36,95.27,92.02,60.73,6.12,20.09,53.45,27.38,32.20,15.75,19.14,27.26,10.32,11.58,23.15,42.98,,452.27,141.32,267.85,26.23,112.19,117.31,32.66,23.41,380.79,11.96,62.45,203.35,121.80,176.41,236.98,33.67,25.25,66.70,13.20,185.35,77.21,46.23,139.73,111.75,169.36,42.89,841.87,2601.88,607.82,1135.91,251.67,102.50,67.58,1633.52,45.67,57.56,84.51,22.20,160.78,305.82,25.21,63.58,149.68,762.31,48.69,1198.89,932.77,28.84,78.00,23.00,74.00
